,unique_words,total_words,lex_div,unusual_words,content_frac,avg_len_words,compound,neg,neu,pos,NN,PR,RB,RBR,RBS,UH,VB,JJ,JJR,JJS,EX,labels,artist
0,101.0,335.0,0.301492537313,7,0.510447761194,3.2776119403,-0.891,0.047,0.953,0.0,0.164265129683,0.190201729107,0.0403458213256,0.0028818443804,0.0,0.0,0.201729106628,0.0461095100865,0.0,0.0,0.0,Warning Call,chvrches
1,98.0,262.0,0.374045801527,5,0.461832061069,3.65267175573,0.9161,0.077,0.799,0.123,0.151624548736,0.198555956679,0.0758122743682,0.0,0.0,0.0,0.194945848375,0.043321299639,0.0,0.0,0.0,The Mother We Share,chvrches
2,85.0,423.0,0.200945626478,5,0.531914893617,3.57210401891,-0.9989,0.296,0.658,0.046,0.195402298851,0.0620689655172,0.0183908045977,0.0,0.0,0.0,0.218390804598,0.0413793103448,0.0,0.0,0.0,Bow Down,chvrches
3,64.0,339.0,0.188790560472,1,0.451327433628,3.12979351032,-0.9935,0.164,0.788,0.048,0.124653739612,0.224376731302,0.0720221606648,0.0,0.0,0.0,0.210526315789,0.0775623268698,0.0,0.0,0.00277008310249,Dead Air,chvrches
4,106.0,255.0,0.41568627451,3,0.490196078431,3.61568627451,0.9042,0.022,0.904,0.075,0.171641791045,0.242537313433,0.0485074626866,0.0,0.0,0.0,0.216417910448,0.044776119403,0.00373134328358,0.0,0.0,Lungs,chvrches
5,11.0,119.0,0.0924369747899,0,0.638655462185,3.3781512605,0.7906,0.0,0.879,0.121,0.0387596899225,0.108527131783,0.0,0.0,0.0,0.0,0.333333333333,0.077519379845,0.0,0.0,0.0,Tether (Eric Prydz Vs.…,chvrches
6,57.0,240.0,0.2375,3,0.391666666667,3.44166666667,0.4404,0.011,0.942,0.047,0.0702479338843,0.276859504132,0.0247933884298,0.0,0.0,0.0,0.314049586777,0.0123966942149,0.0,0.0,0.0,Follow You,chvrches
7,61.0,161.0,0.378881987578,7,0.39751552795,3.51552795031,-0.6124,0.09,0.872,0.038,0.164705882353,0.141176470588,0.0352941176471,0.0,0.0,0.0,0.158823529412,0.0647058823529,0.0,0.0,0.0,Afterglow,chvrches
8,82.0,262.0,0.312977099237,1,0.519083969466,3.5572519084,0.6597,0.012,0.941,0.047,0.080985915493,0.207746478873,0.130281690141,0.0,0.0,0.0,0.225352112676,0.0528169014085,0.00352112676056,0.0,0.00352112676056,Clearest Blue,chvrches
9,61.0,344.0,0.177325581395,1,0.494186046512,3.21511627907,0.5267,0.0,0.981,0.019,0.101408450704,0.270422535211,0.0281690140845,0.0,0.0,0.0,0.222535211268,0.0169014084507,0.0,0.0,0.0,Bury It,chvrches
10,93.0,303.0,0.306930693069,7,0.415841584158,3.42904290429,0.9915,0.046,0.806,0.148,0.0851735015773,0.173501577287,0.0441640378549,0.0,0.0,0.0,0.261829652997,0.0536277602524,0.0,0.0378548895899,0.0,Make Them Gold,chvrches
11,91.0,291.0,0.312714776632,6,0.450171821306,3.5704467354,-0.8194,0.091,0.846,0.063,0.124161073826,0.161073825503,0.0906040268456,0.0,0.0,0.0,0.244966442953,0.0167785234899,0.00335570469799,0.00335570469799,0.0,Never Ending Circles,chvrches
12,73.0,439.0,0.166287015945,7,0.407744874715,2.96810933941,-0.9686,0.07,0.93,0.0,0.0488888888889,0.244444444444,0.0755555555556,0.00444444444444,0.0,0.0,0.233333333333,0.0266666666667,0.02,0.0,0.00222222222222,Playing Dead,chvrches
13,100.0,462.0,0.21645021645,5,0.474025974026,3.01515151515,0.9627,0.139,0.709,0.152,0.120507399577,0.209302325581,0.0972515856237,0.0,0.0,0.0,0.23467230444,0.0274841437632,0.00211416490486,0.0,0.00634249471459,Gun,chvrches
