,unique_words,total_words,lex_div,unusual_words,content_frac,avg_len_words,compound,neg,neu,pos,NN,PR,RB,RBR,RBS,UH,VB,JJ,JJR,JJS,EX,labels,artist
0,41.0,90.0,0.455555555556,2,0.411111111111,3.31111111111,-0.7269,0.123,0.826,0.051,0.0879120879121,0.263736263736,0.131868131868,0.0,0.0,0.0,0.230769230769,0.0549450549451,0.0,0.0,0.0,About Today-the national,the national
1,25.0,74.0,0.337837837838,1,0.527027027027,3.25675675676,0.7506,0.032,0.86,0.109,0.32,0.213333333333,0.0133333333333,0.0,0.0,0.0,0.16,0.0133333333333,0.0,0.0,0.0,Sugar Wife-the national,the national
2,80.0,162.0,0.493827160494,3,0.432098765432,3.51234567901,0.9468,0.027,0.845,0.128,0.157575757576,0.254545454545,0.0363636363636,0.0,0.0,0.0,0.254545454545,0.030303030303,0.00606060606061,0.0,0.0242424242424,Lucky You-the national,the national
3,43.0,120.0,0.358333333333,1,0.441666666667,3.24166666667,-0.9623,0.184,0.816,0.0,0.212598425197,0.165354330709,0.141732283465,0.0,0.0,0.0,0.196850393701,0.00787401574803,0.0,0.0,0.00787401574803,Thirsty-the national,the national
4,110.0,261.0,0.421455938697,9,0.48275862069,3.46743295019,-0.953,0.145,0.77,0.086,0.183823529412,0.198529411765,0.0477941176471,0.00735294117647,0.0,0.0,0.172794117647,0.0625,0.00735294117647,0.0,0.0,Slow Show-the national,the national
5,110.0,260.0,0.423076923077,10,0.6,3.50384615385,0.9485,0.024,0.885,0.091,0.245353159851,0.14126394052,0.0669144981413,0.0,0.0,0.0,0.174721189591,0.0260223048327,0.0,0.0,0.0,Tall Saint (demo)-the national,the national
6,85.0,229.0,0.371179039301,6,0.46288209607,3.24017467249,0.9873,0.016,0.814,0.17,0.231092436975,0.138655462185,0.0210084033613,0.0,0.0,0.0,0.134453781513,0.063025210084,0.0,0.0,0.0,All the Wine-the national,the national
7,68.0,288.0,0.236111111111,2,0.635416666667,3.26041666667,0.9909,0.051,0.759,0.19,0.143835616438,0.157534246575,0.0445205479452,0.0,0.0,0.00342465753425,0.270547945205,0.0684931506849,0.0,0.0,0.0,Santa Clara-the national,the national
8,84.0,279.0,0.301075268817,8,0.5770609319,3.55913978495,-0.8404,0.166,0.701,0.133,0.225352112676,0.197183098592,0.00704225352113,0.0,0.0,0.0,0.197183098592,0.0316901408451,0.0,0.0,0.0,Gospel-the national,the national
9,118.0,261.0,0.452107279693,10,0.505747126437,3.75095785441,0.9289,0.077,0.789,0.134,0.154981549815,0.221402214022,0.0664206642066,0.0,0.0,0.0,0.254612546125,0.0332103321033,0.0,0.0,0.0,Slipping Husband-the national,the national
10,76.0,305.0,0.249180327869,4,0.52131147541,3.62295081967,0.9983,0.007,0.721,0.271,0.2,0.18064516129,0.0290322580645,0.0,0.0,0.0,0.264516129032,0.0322580645161,0.00322580645161,0.0,0.0,"Lean (From ""The Hunger Games:…-the national",the national
11,75.0,223.0,0.336322869955,5,0.479820627803,3.32735426009,-0.4449,0.087,0.831,0.082,0.168103448276,0.25,0.0344827586207,0.0,0.0,0.0,0.228448275862,0.0775862068966,0.0431034482759,0.0,0.00431034482759,I Need My Girl-the national,the national
12,47.0,157.0,0.299363057325,2,0.535031847134,3.10191082803,-0.974,0.18,0.777,0.043,0.187878787879,0.2,0.0727272727273,0.0,0.0,0.0,0.230303030303,0.030303030303,0.0,0.0,0.0,Sorrow-the national,the national
13,91.0,395.0,0.230379746835,14,0.592405063291,3.55189873418,-0.6111,0.089,0.842,0.069,0.178660049628,0.191066997519,0.0347394540943,0.0,0.0,0.0,0.228287841191,0.114143920596,0.0,0.00744416873449,0.0,City Middle-the national,the national
14,83.0,234.0,0.354700854701,7,0.598290598291,3.45726495726,-0.9517,0.154,0.748,0.097,0.177606177606,0.119691119691,0.0810810810811,0.0,0.0,0.0,0.185328185328,0.046332046332,0.0,0.0,0.0,Lit Up-the national,the national
15,54.0,102.0,0.529411764706,4,0.441176470588,3.60784313725,0.8225,0.023,0.882,0.095,0.211009174312,0.192660550459,0.0183486238532,0.0,0.0183486238532,0.0,0.211009174312,0.045871559633,0.0183486238532,0.0,0.0,Val Jester-the national,the national
16,103.0,209.0,0.492822966507,5,0.473684210526,3.62679425837,0.8823,0.044,0.873,0.083,0.181818181818,0.148325358852,0.215311004785,0.0,0.0,0.0,0.186602870813,0.0287081339713,0.0,0.0,0.0,Nobody Else Will Be There-the national,the national
17,119.0,260.0,0.457692307692,9,0.569230769231,3.75384615385,0.2482,0.091,0.799,0.11,0.211320754717,0.169811320755,0.0603773584906,0.0,0.0,0.00377358490566,0.211320754717,0.0490566037736,0.0,0.0,0.0,Apartment Story-the national,the national
18,78.0,151.0,0.516556291391,5,0.483443708609,3.52317880795,-0.7686,0.073,0.927,0.0,0.159509202454,0.208588957055,0.079754601227,0.0,0.0,0.0,0.257668711656,0.0920245398773,0.0,0.0,0.00613496932515,Fireproof-the national,the national
19,121.0,216.0,0.560185185185,11,0.476851851852,3.61574074074,0.8787,0.036,0.878,0.086,0.238738738739,0.126126126126,0.0900900900901,0.0,0.0,0.0,0.243243243243,0.0495495495495,0.0045045045045,0.0,0.00900900900901,The Perfect Song-the national,the national
20,119.0,214.0,0.556074766355,9,0.504672897196,3.71495327103,0.8454,0.085,0.794,0.121,0.18018018018,0.162162162162,0.0765765765766,0.0045045045045,0.0,0.0,0.198198198198,0.0540540540541,0.0045045045045,0.0045045045045,0.0,I'll Still Destroy You-the national,the national
21,80.0,239.0,0.334728033473,4,0.506276150628,3.50627615063,-0.9769,0.235,0.711,0.054,0.203319502075,0.124481327801,0.136929460581,0.0,0.0,0.0,0.282157676349,0.0124481327801,0.00414937759336,0.0,0.0,Anyone's Ghost-the national,the national
22,49.0,169.0,0.289940828402,3,0.597633136095,3.58579881657,-0.5803,0.134,0.748,0.118,0.190751445087,0.179190751445,0.109826589595,0.0,0.0,0.00578034682081,0.294797687861,0.0173410404624,0.0,0.0,0.0,Exile Vilify (From the Game…-the national,the national
23,60.0,145.0,0.413793103448,4,0.51724137931,3.93103448276,0.1901,0.06,0.888,0.052,0.161073825503,0.140939597315,0.0805369127517,0.0,0.0,0.0,0.308724832215,0.0268456375839,0.0,0.0,0.0134228187919,So Far Around the Bend-the national,the national
24,129.0,279.0,0.462365591398,18,0.551971326165,3.63799283154,-0.9778,0.132,0.824,0.043,0.275862068966,0.168965517241,0.0344827586207,0.0,0.0,0.0,0.165517241379,0.0689655172414,0.00344827586207,0.0,0.0,Humiliation-the national,the national
25,77.0,223.0,0.345291479821,4,0.394618834081,3.52466367713,-0.8732,0.124,0.801,0.076,0.126086956522,0.160869565217,0.0869565217391,0.0,0.0,0.0,0.191304347826,0.104347826087,0.00434782608696,0.0,0.0,The System Only Dreams in…-the national,the national
26,97.0,321.0,0.302180685358,7,0.485981308411,3.34267912773,0.9939,0.042,0.776,0.182,0.169139465875,0.192878338279,0.0830860534125,0.0,0.0,0.0178041543027,0.213649851632,0.0504451038576,0.0,0.0,0.0,This Is the Last Time-the national,the national
27,76.0,177.0,0.429378531073,5,0.542372881356,3.80225988701,0.9607,0.0,0.893,0.107,0.196721311475,0.218579234973,0.0382513661202,0.0,0.0,0.00546448087432,0.207650273224,0.0601092896175,0.0273224043716,0.0,0.0,Brainy-the national,the national
28,79.0,231.0,0.341991341991,6,0.532467532468,3.7316017316,0.9973,0.005,0.707,0.288,0.206751054852,0.160337552743,0.0168776371308,0.0,0.0,0.0,0.274261603376,0.0210970464135,0.0042194092827,0.0,0.0,Lean - From “The Hunger…-the national,the national
29,58.0,248.0,0.233870967742,1,0.5,3.12096774194,0.9823,0.018,0.834,0.149,0.238095238095,0.18253968254,0.0793650793651,0.0,0.0,0.00793650793651,0.174603174603,0.0,0.0,0.0,0.0,Bloodbuzz Ohio-the national,the national
30,51.0,238.0,0.214285714286,3,0.483193277311,3.3781512605,0.94,0.132,0.698,0.17,0.16015625,0.1953125,0.04296875,0.0,0.0,0.0,0.2421875,0.08984375,0.0,0.0,0.0,Terrible Love-the national,the national
31,58.0,208.0,0.278846153846,4,0.490384615385,2.85096153846,0.1224,0.058,0.882,0.06,0.184684684685,0.0720720720721,0.0855855855856,0.0,0.0,0.00900900900901,0.112612612613,0.0540540540541,0.0,0.0,0.0,The Rains of Castomere-the national,the national
32,77.0,184.0,0.41847826087,2,0.33152173913,3.59782608696,0.5994,0.049,0.887,0.064,0.0687830687831,0.275132275132,0.026455026455,0.0,0.0,0.0,0.253968253968,0.037037037037,0.0,0.0,0.0,Available-the national,the national
33,97.0,184.0,0.527173913043,5,0.391304347826,3.36956521739,0.9308,0.038,0.853,0.109,0.0952380952381,0.174603174603,0.126984126984,0.0,0.0,0.0,0.248677248677,0.037037037037,0.0,0.0,0.010582010582,Hard to Find-the national,the national
34,67.0,235.0,0.285106382979,7,0.429787234043,3.23404255319,0.9955,0.0,0.77,0.23,0.14693877551,0.216326530612,0.0204081632653,0.0,0.0,0.0,0.228571428571,0.0326530612245,0.0,0.0,0.00816326530612,Dark Side of the Gym-the national,the national
35,59.0,113.0,0.522123893805,3,0.53982300885,3.6017699115,-0.9607,0.201,0.778,0.02,0.301587301587,0.126984126984,0.031746031746,0.0,0.0,0.0,0.15873015873,0.0952380952381,0.0,0.0,0.0,Fake Empire-the national,the national
36,82.0,227.0,0.361233480176,4,0.533039647577,3.28634361233,0.9855,0.061,0.723,0.216,0.193965517241,0.112068965517,0.116379310345,0.0,0.0,0.0,0.241379310345,0.0301724137931,0.0,0.0,0.00431034482759,Bad Stuff Happens in the…-the national,the national
37,96.0,158.0,0.607594936709,9,0.455696202532,3.51265822785,0.974,0.101,0.674,0.225,0.155279503106,0.198757763975,0.0869565217391,0.0,0.0,0.0,0.217391304348,0.0310559006211,0.0,0.0,0.00621118012422,Sunshine on My Back-the national,the national
38,51.0,180.0,0.283333333333,2,0.622222222222,3.45555555556,-0.6072,0.13,0.757,0.114,0.190217391304,0.16847826087,0.108695652174,0.0,0.0,0.0054347826087,0.25,0.0163043478261,0.0,0.0,0.0,Exile Vilify-the national,the national
39,120.0,319.0,0.376175548589,12,0.548589341693,3.86833855799,-0.9409,0.141,0.766,0.093,0.198757763975,0.170807453416,0.0403726708075,0.00310559006211,0.0,0.0,0.22049689441,0.0931677018634,0.00310559006211,0.0,0.0,Conversation 16-the national,the national
40,78.0,308.0,0.253246753247,5,0.516233766234,3.6461038961,0.9987,0.007,0.692,0.301,0.201277955272,0.178913738019,0.00958466453674,0.0,0.0,0.0,0.26517571885,0.0223642172524,0.00319488817891,0.0,0.0,Lean-the national,the national
41,79.0,233.0,0.339055793991,6,0.519313304721,3.15450643777,0.1872,0.16,0.681,0.159,0.152542372881,0.190677966102,0.0847457627119,0.0,0.0,0.0,0.220338983051,0.0338983050847,0.0,0.0,0.0,Heavenfaced-the national,the national
42,143.0,354.0,0.40395480226,14,0.5,3.08757062147,0.9531,0.057,0.835,0.109,0.158038147139,0.158038147139,0.0899182561308,0.00272479564033,0.0,0.00272479564033,0.158038147139,0.0354223433243,0.00544959128065,0.0,0.00272479564033,Demons-the national,the national
43,102.0,193.0,0.528497409326,4,0.512953367876,3.33160621762,0.9528,0.077,0.751,0.172,0.199029126214,0.145631067961,0.0291262135922,0.0,0.0,0.0,0.247572815534,0.0485436893204,0.0,0.0,0.0,Baby We’ll Be Fine-the national,the national
44,59.0,100.0,0.59,5,0.56,3.48,-0.34,0.097,0.832,0.071,0.263636363636,0.163636363636,0.00909090909091,0.0,0.0,0.0,0.172727272727,0.118181818182,0.0,0.0,0.0,Wasp Nest-the national,the national
45,83.0,204.0,0.406862745098,4,0.529411764706,3.62254901961,0.9571,0.035,0.84,0.125,0.185365853659,0.175609756098,0.0682926829268,0.0,0.0,0.0,0.234146341463,0.0439024390244,0.0,0.0,0.019512195122,American Mary-the national,the national
46,53.0,218.0,0.243119266055,7,0.564220183486,4.04128440367,0.9951,0.13,0.585,0.285,0.239316239316,0.132478632479,0.0512820512821,0.0,0.0,0.0128205128205,0.149572649573,0.0470085470085,0.0,0.034188034188,0.0,Vanderlyle Crybaby Geeks-the national,the national
47,72.0,223.0,0.322869955157,3,0.466367713004,3.23766816143,-0.9787,0.17,0.793,0.037,0.160173160173,0.181818181818,0.04329004329,0.0,0.0,0.0,0.246753246753,0.030303030303,0.012987012987,0.0,0.0,Think You Can Wait-the national,the national
48,151.0,313.0,0.482428115016,7,0.5303514377,3.27795527157,0.8345,0.033,0.9,0.067,0.172307692308,0.196923076923,0.0584615384615,0.0,0.0,0.00615384615385,0.196923076923,0.0338461538462,0.00307692307692,0.0,0.00307692307692,Pay For Me-the national,the national
49,82.0,319.0,0.257053291536,3,0.514106583072,3.09404388715,0.9849,0.082,0.738,0.18,0.15479876161,0.216718266254,0.0681114551084,0.0,0.0,0.0,0.269349845201,0.0030959752322,0.0,0.0,0.0,Sea of Love-the national,the national
50,82.0,257.0,0.31906614786,8,0.47859922179,3.66536964981,0.9947,0.064,0.707,0.229,0.220930232558,0.193798449612,0.046511627907,0.0,0.0,0.0,0.220930232558,0.0193798449612,0.0,0.0,0.0,Daughters of the Soho Riots-the national,the national
51,92.0,285.0,0.322807017544,11,0.568421052632,4.41754385965,0.9375,0.053,0.862,0.085,0.25,0.121621621622,0.0506756756757,0.0,0.0,0.0101351351351,0.155405405405,0.0574324324324,0.0,0.0,0.0,Mistaken for Strangers-the national,the national
52,87.0,321.0,0.271028037383,8,0.598130841121,3.31775700935,0.9965,0.022,0.772,0.206,0.190332326284,0.178247734139,0.0422960725076,0.0,0.0,0.012084592145,0.184290030211,0.0543806646526,0.0,0.0,0.0,The Geese of Beverly Road-the national,the national
53,75.0,146.0,0.513698630137,3,0.472602739726,3.18493150685,-0.8271,0.087,0.913,0.0,0.145695364238,0.211920529801,0.0529801324503,0.0,0.0,0.0,0.245033112583,0.046357615894,0.0,0.0,0.00662251655629,Cold Girl Fever-the national,the national
54,118.0,288.0,0.409722222222,12,0.517361111111,3.86805555556,-0.9646,0.149,0.792,0.059,0.235880398671,0.146179401993,0.0299003322259,0.0,0.0,0.00664451827243,0.182724252492,0.0498338870432,0.00996677740864,0.0,0.00332225913621,Turtleneck-the national,the national
55,68.0,127.0,0.535433070866,4,0.503937007874,4.0,0.9883,0.06,0.669,0.271,0.21897810219,0.167883211679,0.0948905109489,0.0,0.0,0.0,0.211678832117,0.0802919708029,0.014598540146,0.0,0.0,It Never Happened-the national,the national
56,80.0,237.0,0.337552742616,3,0.489451476793,3.2194092827,0.8181,0.017,0.905,0.078,0.152892561983,0.169421487603,0.103305785124,0.0,0.0,0.0,0.285123966942,0.0165289256198,0.0,0.0,0.0165289256198,Empire Line-the national,the national
57,167.0,464.0,0.359913793103,16,0.566810344828,3.36853448276,0.9905,0.048,0.807,0.145,0.0975609756098,0.178861788618,0.099593495935,0.0020325203252,0.0,0.00813008130081,0.231707317073,0.0447154471545,0.010162601626,0.0,0.0,Walk It Back-the national,the national
58,86.0,211.0,0.407582938389,9,0.483412322275,3.11374407583,0.7717,0.088,0.806,0.106,0.139534883721,0.209302325581,0.0279069767442,0.0,0.0,0.0,0.260465116279,0.0186046511628,0.0046511627907,0.0,0.0,Born to Beg-the national,the national
